Оптимизация 0 выполнена успешно!
Значения управляемого параметра x[i,j,k,t]:
x[r101, t11, m27, 20] = 12.0
x[r102, t14, m4, 22] = 13.0
x[r103, t10, m17, 23] = 7.0
x[r103, t14, m18, 22] = 9.0
x[r104, t11, m9, 4] = 10.0
x[r105, t11, m7, 5] = 27.0
x[r106, t10, m24, 4] = 12.0
x[r107, t11, m9, 8] = 10.0
x[r108, t11, m15, 8] = 4.0
x[r109, t3, m0, 7] = 4.0
x[r110, t11, m26, 18] = 5.0
x[r111, t11, m2, 18] = 12.0
x[r201, t14, m4, 17] = 56.0
x[r202, t10, m17, 18] = 96.0
x[r203, t11, m9, 21] = 69.0
x[r205, t10, m7, 20] = 43.0
x[r205, t10, m7, 21] = 1.0
x[r206, t10, m6, 20] = 60.0
x[r207, t14, m25, 20] = 33.0
x[r208, t11, m9, 2] = 43.0
x[r209, t11, m15, 7] = 35.0
x[r210, t11, m15, 4] = 104.0
x[r212, t3, m0, 16] = 14.0
x[r213, t11, m2, 17] = 1.0
x[r213, t11, m2, 18] = 51.0
x[r401, t10, m17, 24] = 15.0
x[r402, t7, m0, 1] = 3.0
x[r403, t11, m9, 1] = 14.0
x[r404, t11, m7, 1] = 12.0
x[r405, t10, m4, 1] = 12.0
x[r406, t11, m24, 3] = 12.0
x[r407, t11, m15, 3] = 16.0
x[r409, t11, m15, 9] = 8.0
x[r410, t3, m0, 19] = 2.0
x[r501, t7, m0, 7] = 19.0
x[r502, t10, m9, 7] = 3.0
x[r502, t11, m9, 7] = 31.0
x[r503, t10, m17, 9] = 1.0
x[r503, t14, m18, 9] = 25.0
x[r504, t11, m27, 8] = 25.0
x[r505, t11, m7, 9] = 20.0
x[r506, t10, m4, 8] = 20.0
x[r507, t10, m24, 10] = 7.0
x[r508, t11, m27, 14] = 7.0
x[r509, t2, m0, 15] = 14.0
x[r510, t7, m0, 15] = 5.0
x[r601, t11, m27, 19] = 10.0
x[r602, t14, m4, 23] = 14.0
x[r603, t11, m9, 3] = 98.0
x[r604, t14, m18, 7] = 24.0
x[r605, t11, m27, 5] = 12.0
x[r606, t11, m7, 7] = 19.0
x[r607, t10, m4, 6] = 19.0
x[r608, t10, m24, 8] = 13.0
x[r609, t11, m15, 9] = 11.0
x[r610, t11, m27, 10] = 6.0
x[r611, t2, m0, 22] = 2.0
x[r612, t7, m0, 22] = 8.0
x[r701, t14, m18, 17] = 11.0
x[r702, t11, m27, 17] = 11.0
x[r703, t10, m6, 18] = 3.0
x[r703, t10, m7, 18] = 6.0
x[r704, t10, m24, 17] = 6.0
x[r705, t11, m15, 20] = 4.0
x[r706, t11, m27, 5] = 22.0
x[r707, t1, m0, 2] = 1.0
x[r708, t3, m0, 15] = 1.0
x[r801, t10, m17, 23] = 9.0
x[r801, t14, m18, 23] = 3.0
x[r802, t11, m27, 3] = 3.0
x[r803, t10, m7, 4] = 26.0
x[r804, t10, m24, 5] = 8.0
x[r805, t11, m15, 6] = 7.0
x[r806, t11, m27, 8] = 8.0
x[r807, t1, m0, 9] = 2.0
x[r808, t3, m0, 16] = 1.0
x[r901, t7, m0, 1] = 1.0
x[r902, t11, m27, 1] = 44.0
x[r903, t11, m31, 11] = 26.0
x[r903, t11, m31, 12] = 8.0
x[r904, t11, m26, 13] = 17.0
x[r905, t2, m0, 12] = 164.0
x[r907, t11, m27, 13] = 15.0
x[r908, t11, m31, 17] = 38.0
x[r909, t11, m31, 22] = 30.0
